"Order ID","Order Date","Seller","Base Currency","Shipping","Insurance","Add Chrg 1","Add Chrg 2","Credit","Coupon Credit","Order Total","Tax","Base Grand Total","Total Lots","Total Items","Order Status","Order Status Changed","Pmt In","Pmt Method","Order Note","Tracking No","Location","Batch","Batch Date","Condition","Item Description","Qty","Each","Total","Item Type","Item Number","Weight","Inv ID","Sub-Condition"
"29163285","8/22/2025","BrickheadzBuyer","USD","$4.65","","","","","","$39.03","$0.00","$43.68","1","14","Received","8/29/2025","USD","PayPal (Onsite)","","9400136106194311739846","USA, Missouri","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Wither Skeleton - Straight Arms ","14","$2.788","$39.032","Minifigure","min025","2.67","463242941",""
"29163280","8/22/2025","ManyMiniBricks","USD","$5.95","","","","","","$17.67","$0.00","$23.62","1","9","Shipped","8/22/2025","USD","PayPal (Onsite)","","9400150105501124770497","USA, Maryland","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Olaf - Micro Doll, Medium Blue Mouth ","9","$1.9635","$17.6715","Minifigure","dp185","2.06","419721936",""
"29163272","8/22/2025","ZigsBrickStore","USD","$5.49","","$0.50","","","","$22.38","$0.00","$28.37","1","9","Received","8/28/2025","USD","Credit/Debit (Powered by Stripe)","","9400136106194311828809","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Olaf - Micro Doll, Medium Blue Mouth ","9","$2.4864","$22.3776","Minifigure","dp185","2.06","398297887",""
"29163267","8/22/2025","bigasbricks","USD","$5.00","","","","","","$55.30","$0.00","$60.30","1","14","Received","8/28/2025","USD","PayPal (Onsite)","","9400150105501124892212","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Thor - Spongy Cape, Pearl Dark Gray Legs ","14","$3.95","$55.30","Minifigure","sh0623","3.77","198870134",""
"29163263","8/22/2025","marvriel","USD","$3.99","","","","","","$27.00","$0.00","$30.99","1","20","Received","8/28/2025","USD","Credit/Debit (Powered by Stripe)","","9214490342232506217651","Canada, Ontario","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","White Body Snowman with Black Buttons Pattern, Reddish Brown Arms with Hands ","20","$1.35","$27.00","Part","62373pb02c01","1.36","374444468",""
"29163200","8/22/2025","Zixx","USD","$4.36","","$1.00","","","","$55.10","$0.00","$60.46","1","19","Received","8/28/2025","USD","PayPal","","9400150206217241211376","USA, California","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Kai - Legacy, Rebooted Robe ","19","$2.90","$55.10","Minifigure","njo0630","4.06","258873182",""
"29163176","8/22/2025","MartCobra","USD","$4.60","","","","","","$111.50","$0.00","$116.10","2","49","Received","8/28/2025","USD","PayPal (Onsite)","","9400150105501124815914","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Baby - White Body with Yellow Hands, Head with Neck Comes with light aqua bottle Item No: 18855","40","$2.00","$80.00","Minifigure","njo0446","0.68","487109295",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","C-3PO - Colorful Wires, Printed Legs ","9","$3.50","$31.50","Minifigure","sw0700","3","487960982",""
"29162852","8/21/2025","ABCbuilds","USD","$5.50","","","","","","$31.50","$0.00","$37.00","1","9","Received","8/28/2025","USD","PayPal","","9400150206217244670484","USA, Oregon","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/21/2025","New","Albus Dumbledore - Dark Red Robe, Light Bluish Gray Hair ","9","$3.50","$31.50","Minifigure","hp147","4.2","477597846",""
"29162848","8/21/2025","connie","USD","$5.00","","","","","","$55.73","$0.00","$60.73","4","53","Received","8/28/2025","USD","PayPal","","9400150105794017125645","USA, Minnesota","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/21/2025","New","Black Brick, Round  1 x 1 ","9","$0.05","$0.45","Part","3062","0.28","448105932",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/21/2025","New","Dark Brown Minifigure, Hair Female Ponytail Long French Braided ","20","$1.25","$25.00","Part","88286","0.81","102234476",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/21/2025","New","Dark Tan Minifigure, Utensil Wand, 2 on Sprue ","4","$0.07","$0.28","Part","36752","0.24","447423470",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/21/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","20","$1.50","$30.00","Part","973pb3164c01","1.31","175778818",""
"29032347","8/6/2025","Ctbyrne","USD","","","","","","","$102.49","$0.00","$102.49","2","24","Received","8/28/2025","USD","PayPal (Onsite)","","9400150206217222870332","USA, Pennsylvania","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/6/2025","New","Wu Sensei - 10th Anniversary Golden Ninja Unassembled.","12","$8.382","$100.584","Minifigure","njo0658","3.6","250355840",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/6/2025","New","Pearl Gold Bar   6L with Stop Ring ","12","$0.159","$1.908","Part","63965","0.44","141216862",""
"28977749","7/30/2025","jporvek","USD","$5.85","","","","","","$11.85","$0.00","$17.70","1","3","Received","8/28/2025","USD","PayPal (Onsite)","","9400130109355088618313","USA, Alabama","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","7/30/2025","New","Darth Vader - Printed Arms, Traditional Starched Fabric Cape, White Head with Frown Never assembled. Includes lightsaber and boxed cape.","3","$3.95","$11.85","Minifigure","sw1273","4.25","483189507",""
"28971535","7/30/2025","MWin30","USD","$7.90","","","","","","$34.99","$0.00","$42.89","1","10","Completed","8/6/2025","USD","Credit/Debit (Powered by Stripe)","","9400 1301 0935 5088 4882 68","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","7/30/2025","New","Astromech Droid, R2-D2 - Flat Silver Head, Lavender Dots and Small Receptor Figure is in new condition, comes in separate bag and ships disassembled","10","$3.499","$34.99","Minifigure","sw0527a","5","485116312",""
"28971329","7/30/2025","MartCobra","USD","$5.66","","","","","","$134.90","$0.00","$140.56","2","20","Received","8/28/2025","USD","PayPal (Onsite)","","9400150206217210433488","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","7/30/2025","New","Yoda - Olive Green, Open Robe with Large Creases, Neck Bracket Comes with green lightsaber","10","$9.99","$99.90","Minifigure","sw0471","3.25","381150119",""
"","","","","","","","","","","","","","","","","","","","","","","2","7/30/2025","New","C-3PO - Colorful Wires, Printed Legs ","10","$3.50","$35.00","Minifigure","sw0700","3","487960982",""
"28971405","7/30/2025","MWin30","USD","$7.90","","","","","","$28.18","$0.00","$36.08","1","5","Completed","8/6/2025","USD","Credit/Debit (Powered by Stripe)","","","USA, Michigan","","","","","","","","","","","","","","",
